State,Year,Return_Period,Return_Level,Standard_Error,CI_Lower,CI_Upper
Manipur,2025,5,171.3284971,5.832280431,159.8974375,182.7595566
Manipur,2026,5,171.9251421,5.848340867,160.4626047,183.3876796
Manipur,2027,5,172.5217872,5.86459707,161.0273882,184.0161863
Manipur,2028,5,173.1184323,5.881047418,161.5917912,184.6450735
Manipur,2025,10,198.9644928,10.32435728,178.7291244,219.1998613
Manipur,2026,10,199.5611379,10.3313867,179.3119921,219.8102838
Manipur,2027,10,200.157783,10.33854733,179.8946026,220.4209634
Manipur,2028,10,200.7544281,10.3458389,180.4769565,221.0318998
Jammu Kashmir,2025,50,338.523,NA,270.5142,406.5317
Manipur,2026,50,295.9822402,40.16293484,217.2643343,374.700146
Manipur,2027,50,296.5788852,40.16126377,217.8642547,375.2935158
Manipur,2028,50,297.1755303,40.15962764,218.4641065,375.8869542
Jammu Kashmir,2025,100,391.1206,NA,290.9004,491.3408
Jammu Kashmir,2026,100,391.1206,NA,290.9004,491.3408
Manipur,2027,100,358.9632751,66.86878253,227.9028696,490.0236805
Jammu Kashmir,2028,100,391.1206,NA,290.9004,491.3408
Tripura,2025,5,258.7937121,12.04235371,235.1911325,282.3962916
Tripura,2026,5,259.201248,12.07911959,235.5266086,282.8758873
Tripura,2027,5,259.6087839,12.1163263,235.8612207,283.356347
Tripura,2028,5,260.0163197,12.15396976,236.1949767,283.8376627
Tripura,2025,10,313.3576576,19.45584018,275.2249116,351.4904037
Tripura,2026,10,313.7651935,19.47478211,275.595322,351.9350651
Tripura,2027,10,314.1727294,19.49404895,275.9650956,352.3803633
Tripura,2028,10,314.5802653,19.51363974,276.3342342,352.8262964
Haryana,2025,50,321.7913,NA,296.2107,347.3718
Tripura,2026,50,482.4930358,63.28728957,358.4522275,606.533844
Tripura,2027,50,482.9005717,63.28611301,358.8620694,606.9390739
Tripura,2028,50,483.3081075,63.28504217,359.2717041,607.344511
Manipur,2025,100,357.7699849,66.87467486,226.6980307,488.8419391
Manipur,2026,100,358.36663,66.87171825,227.3004706,489.4327893
Tripura,2027,100,581.0081235,99.00435753,386.9631484,775.0530985
Manipur,2028,100,359.5599202,66.86586771,228.5052276,490.6146127
Mizoram,2025,5,211.9551812,10.32207121,191.7242934,232.186069
Mizoram,2026,5,212.1547972,10.35630078,191.8568207,232.4527737
Mizoram,2027,5,212.3544132,10.39091944,191.9885853,232.7202411
Mizoram,2028,5,212.5540292,10.42592334,192.119595,232.9884635
Mizoram,2025,10,257.9484604,15.92831643,226.7295339,289.167387
Mizoram,2026,10,258.1480764,15.94367717,226.8990434,289.3971095
Mizoram,2027,10,258.3476925,15.95934987,227.0679415,289.6274434
Mizoram,2028,10,258.5473085,15.97533363,227.2362299,289.858387
Sikkim,2025,50,319.9198472,14.94850707,290.6213118,349.2183827
Mizoram,2026,50,397.4545904,48.97342018,301.4684506,493.4407301
Mizoram,2027,50,397.6542064,48.96548457,301.6836202,493.6247926
Mizoram,2028,50,397.8538224,48.95765419,301.8985834,493.8090614
Haryana,2025,100,350.3161,NA,320.9061,379.7261
Haryana,2026,100,350.3161,NA,320.9061,379.7261
Mizoram,2027,100,477.1566381,75.54010518,329.1007525,625.2125236
Haryana,2028,100,350.3161,NA,320.9061,379.7261
Dadra and Nagar Haveli and Daman and Diu,2025,5,295.7298949,11.79988966,272.6025362,318.8572537
Dadra and Nagar Haveli and Daman and Diu,2025,10,340.2192537,11.87778958,316.9392139,363.4992935
Puducherry,2025,50,314.5443316,NA,281.9833122,347.1053509
Puducherry,2025,100,350.295208,NA,312.8214931,387.7689229
Dadra and Nagar Haveli and Daman and Diu,2026,5,296.2305023,11.94900335,272.8108861,319.6501185
Dadra and Nagar Haveli and Daman and Diu,2026,10,340.719861,12.02536161,317.1505854,364.2891367
Dadra and Nagar Haveli and Daman and Diu,2026,50,438.6338701,12.46408217,414.2047179,463.0630223
Puducherry,2026,100,350.295208,NA,312.8214931,387.7689229
Dadra and Nagar Haveli and Daman and Diu,2027,5,296.7311096,12.09858475,273.0183192,320.4439
Dadra and Nagar Haveli and Daman and Diu,2027,10,341.2204684,12.17343605,317.3609721,365.0799646
Dadra and Nagar Haveli and Daman and Diu,2027,50,439.1344774,12.60619186,414.4267954,463.8421595
Dadra and Nagar Haveli and Daman and Diu,2027,100,480.5281458,12.81196129,455.4171631,505.6391285
Dadra and Nagar Haveli and Daman and Diu,2028,5,297.231717,12.24861673,273.2248693,321.2385646
Dadra and Nagar Haveli and Daman and Diu,2028,10,341.7210757,12.32199479,317.5704097,365.8717417
Dadra and Nagar Haveli and Daman and Diu,2028,50,439.6350848,12.7489054,414.6476894,464.6224802
Puducherry,2028,100,350.295208,NA,312.8214931,387.7689229
Manipur,2025,50,295.3855951,40.16464085,216.6643455,374.1068446
Sikkim,2025,100,347.9237906,16.67862015,315.2342958,380.6132854
Sikkim,2026,100,348.2666213,16.7297752,315.4768645,381.0563782
Sikkim,2028,100,348.9522828,16.83369526,315.9588463,381.9457192
Telangana,2025,5,302.3242473,11.74825942,279.298082,325.3504127
Telangana,2026,5,302.8879571,11.79433157,279.771492,326.0044222
Telangana,2027,5,303.4516668,11.84092087,280.2438884,326.6594453
Telangana,2028,5,304.0153766,11.88802123,280.7152831,327.31547
Telangana,2025,10,352.6914326,17.73427415,317.932894,387.4499712
Telangana,2026,10,353.2551423,17.76071776,318.4447752,388.0655095
Telangana,2027,10,353.8188521,17.78758565,318.9558248,388.6818793
Telangana,2028,10,354.3825618,17.81487589,319.4660467,389.2990769
Delhi,2025,50,187.2138,NA,169.1931,205.2346
Telangana,2026,50,498.4440008,51.85281426,396.8143524,600.0736493
Telangana,2027,50,499.0077106,51.85419411,397.3753577,600.6400635
Telangana,2028,50,499.5714203,51.85573294,397.9360513,601.2067893
Nagaland,2025,100,213.0858536,NA,163.9256613,262.2460459
Nagaland,2026,100,213.0858536,NA,163.9256613,262.2460459
Telangana,2027,100,578.2257871,78.38648369,424.5911022,731.860472
Nagaland,2028,100,213.0858536,NA,163.9256613,262.2460459
Puducherry,2025,5,191.5534152,NA,175.0677531,208.0390774
Puducherry,2025,10,229.977977,NA,208.7100093,251.2459446
Nagaland,2025,50,186.5750826,NA,152.9889803,220.1611849
Chandigarh,2025,100,207.4925332,12.24512835,183.4925226,231.4925437
Puducherry,2026,5,191.5534152,NA,175.0677531,208.0390774
Puducherry,2026,10,229.977977,NA,208.7100093,251.2459446
Puducherry,2026,50,314.5443316,NA,281.9833122,347.1053509
Delhi,2026,100,207.2529,NA,186.5335,227.9724
Puducherry,2027,5,191.5534152,NA,175.0677531,208.0390774
Puducherry,2027,10,229.977977,NA,208.7100093,251.2459446
Puducherry,2027,50,314.5443316,NA,281.9833122,347.1053509
Puducherry,2027,100,350.295208,NA,312.8214931,387.7689229
Puducherry,2028,5,191.5534152,NA,175.0677531,208.0390774
Puducherry,2028,10,229.977977,NA,208.7100093,251.2459446
Puducherry,2028,50,314.5443316,NA,281.9833122,347.1053509
Delhi,2028,100,207.2529,NA,186.5335,227.9724
Gujarat,2025,5,463.5177786,18.84472445,426.5827974,500.4527598
Gujarat,2025,10,522.0947131,21.34479316,480.2596873,563.929739
Chandigarh,2025,50,186.1358577,10.97052958,164.6340148,207.6377005
Delhi,2025,100,207.2529,NA,186.5335,227.9724
Gujarat,2026,5,464.3188762,18.99440396,427.0905286,501.5472239
Gujarat,2026,10,522.8958108,21.47875618,480.7982223,564.9933994
Gujarat,2026,50,651.8143357,28.3124848,596.3228852,707.3057862
Chandigarh,2026,100,207.2314522,12.28082929,183.1614691,231.3014354
Gujarat,2027,5,465.1199739,19.14514988,427.5961697,502.6437781
Gujarat,2027,10,523.6969085,21.61387005,481.3345016,566.0593153
Gujarat,2027,50,652.6154334,28.41810649,596.9169681,708.3138986
Gujarat,2027,100,707.1164258,31.62587682,645.1308462,769.1020053
Gujarat,2028,5,465.9210716,19.29693719,428.0997697,503.7423735
Gujarat,2028,10,524.4980061,21.75011332,481.8685674,567.1274449
Gujarat,2028,50,653.416531,28.52483824,597.5088754,709.3241866
Chandigarh,2028,100,206.7092904,12.35365184,182.4965777,230.9220031
Goa,2025,5,290.0827,9.879886,270.7184,309.4469
Goa,2025,10,321.392,11.38287,299.0819,343.702
Goa,2025,50,390.2988,15.41636,360.0833,420.5143
Goa,2025,100,419.4295,17.28623,385.5491,453.3099
Goa,2026,5,290.6629,9.949335,271.1625,310.1632
Goa,2026,10,321.9722,11.44452,299.5414,344.403
Goa,2026,50,390.879,15.46419,360.5698,421.1883
Goa,2026,100,420.0097,17.32977,386.044,453.9755
Goa,2027,5,291.2431,10.01931,271.6056,310.8806
Goa,2027,10,322.5524,11.50671,299.9997,345.1052
Goa,2027,50,391.4592,15.51253,361.0553,421.8632
Goa,2027,100,420.59,17.37378,386.538,454.642
Goa,2028,5,291.8234,10.0898,272.0477,311.599
Goa,2028,10,323.1327,11.56944,300.457,345.8084
Goa,2028,50,392.0395,15.56136,361.5398,422.5392
Goa,2028,100,421.1702,17.41827,387.031,455.3094
